mode,filename,shape_ok,affine_ok,shape_t1c,shape_gtv
train,BraTS-MEN-RT-0158-1_t1c_bet.nii.gz,True,True,"(229, 229, 231)","(229, 229, 231)"
train,BraTS-MEN-RT-0159-1_t1c_bet.nii.gz,True,True,"(250, 250, 165)","(250, 250, 165)"
train,BraTS-MEN-RT-0160-1_t1c_bet.nii.gz,True,True,"(380, 380, 298)","(380, 380, 298)"
train,BraTS-MEN-RT-0161-1_t1c_bet.nii.gz,True,True,"(191, 236, 140)","(191, 236, 140)"
train,BraTS-MEN-RT-0163-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0164-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0165-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0166-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0167-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0168-1_t1c_bet.nii.gz,True,True,"(260, 260, 184)","(260, 260, 184)"
train,BraTS-MEN-RT-0170-1_t1c_bet.nii.gz,True,True,"(250, 250, 214)","(250, 250, 214)"
train,BraTS-MEN-RT-0171-1_t1c_bet.nii.gz,True,True,"(265, 265, 180)","(265, 265, 180)"
train,BraTS-MEN-RT-0172-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0173-1_t1c_bet.nii.gz,True,True,"(240, 240, 187)","(240, 240, 187)"
train,BraTS-MEN-RT-0174-1_t1c_bet.nii.gz,True,True,"(380, 380, 289)","(380, 380, 289)"
train,BraTS-MEN-RT-0175-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0176-1_t1c_bet.nii.gz,True,True,"(260, 260, 170)","(260, 260, 170)"
train,BraTS-MEN-RT-0177-1_t1c_bet.nii.gz,True,True,"(259, 259, 186)","(259, 259, 186)"
train,BraTS-MEN-RT-0178-1_t1c_bet.nii.gz,True,True,"(380, 380, 283)","(380, 380, 283)"
train,BraTS-MEN-RT-0179-1_t1c_bet.nii.gz,True,True,"(260, 260, 149)","(260, 260, 149)"
train,BraTS-MEN-RT-0180-1_t1c_bet.nii.gz,True,True,"(255, 256, 258)","(255, 256, 258)"
train,BraTS-MEN-RT-0181-1_t1c_bet.nii.gz,True,True,"(250, 250, 199)","(250, 250, 199)"
train,BraTS-MEN-RT-0184-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0185-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0186-1_t1c_bet.nii.gz,True,True,"(259, 259, 190)","(259, 259, 190)"
train,BraTS-MEN-RT-0187-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0188-1_t1c_bet.nii.gz,True,True,"(240, 240, 172)","(240, 240, 172)"
train,BraTS-MEN-RT-0189-1_t1c_bet.nii.gz,True,True,"(256, 255, 258)","(256, 255, 258)"
train,BraTS-MEN-RT-0190-1_t1c_bet.nii.gz,True,True,"(269, 269, 180)","(269, 269, 180)"
train,BraTS-MEN-RT-0191-1_t1c_bet.nii.gz,True,True,"(260, 260, 172)","(260, 260, 172)"
train,BraTS-MEN-RT-0192-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0193-1_t1c_bet.nii.gz,True,True,"(380, 380, 283)","(380, 380, 283)"
train,BraTS-MEN-RT-0194-1_t1c_bet.nii.gz,True,True,"(259, 259, 180)","(259, 259, 180)"
train,BraTS-MEN-RT-0195-1_t1c_bet.nii.gz,True,True,"(260, 260, 156)","(260, 260, 156)"
train,BraTS-MEN-RT-0196-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0197-1_t1c_bet.nii.gz,True,True,"(259, 259, 180)","(259, 259, 180)"
train,BraTS-MEN-RT-0198-1_t1c_bet.nii.gz,True,True,"(259, 259, 180)","(259, 259, 180)"
train,BraTS-MEN-RT-0199-1_t1c_bet.nii.gz,True,True,"(260, 260, 170)","(260, 260, 170)"
train,BraTS-MEN-RT-0200-1_t1c_bet.nii.gz,True,True,"(260, 260, 162)","(260, 260, 162)"
train,BraTS-MEN-RT-0201-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0202-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0203-1_t1c_bet.nii.gz,True,True,"(201, 230, 172)","(201, 230, 172)"
train,BraTS-MEN-RT-0206-1_t1c_bet.nii.gz,True,True,"(259, 259, 179)","(259, 259, 179)"
train,BraTS-MEN-RT-0208-1_t1c_bet.nii.gz,True,True,"(229, 230, 176)","(229, 230, 176)"
train,BraTS-MEN-RT-0209-1_t1c_bet.nii.gz,True,True,"(269, 269, 180)","(269, 269, 180)"
train,BraTS-MEN-RT-0210-1_t1c_bet.nii.gz,True,True,"(260, 260, 177)","(260, 260, 177)"
train,BraTS-MEN-RT-0211-1_t1c_bet.nii.gz,True,True,"(259, 259, 190)","(259, 259, 190)"
train,BraTS-MEN-RT-0212-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0214-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0215-1_t1c_bet.nii.gz,True,True,"(254, 254, 223)","(254, 254, 223)"
train,BraTS-MEN-RT-0216-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0217-1_t1c_bet.nii.gz,True,True,"(279, 279, 169)","(279, 279, 169)"
train,BraTS-MEN-RT-0219-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0220-1_t1c_bet.nii.gz,True,True,"(259, 259, 190)","(259, 259, 190)"
train,BraTS-MEN-RT-0221-1_t1c_bet.nii.gz,True,True,"(270, 270, 184)","(270, 270, 184)"
train,BraTS-MEN-RT-0222-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0223-1_t1c_bet.nii.gz,True,True,"(259, 259, 190)","(259, 259, 190)"
train,BraTS-MEN-RT-0224-1_t1c_bet.nii.gz,True,True,"(254, 254, 213)","(254, 254, 213)"
train,BraTS-MEN-RT-0225-1_t1c_bet.nii.gz,True,True,"(260, 260, 170)","(260, 260, 170)"
train,BraTS-MEN-RT-0226-1_t1c_bet.nii.gz,True,True,"(250, 250, 172)","(250, 250, 172)"
train,BraTS-MEN-RT-0227-1_t1c_bet.nii.gz,True,True,"(259, 259, 181)","(259, 259, 181)"
train,BraTS-MEN-RT-0229-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0230-1_t1c_bet.nii.gz,True,True,"(380, 380, 298)","(380, 380, 298)"
train,BraTS-MEN-RT-0231-1_t1c_bet.nii.gz,True,True,"(240, 240, 172)","(240, 240, 172)"
train,BraTS-MEN-RT-0232-1_t1c_bet.nii.gz,True,True,"(380, 380, 271)","(380, 380, 271)"
train,BraTS-MEN-RT-0233-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0234-1_t1c_bet.nii.gz,True,True,"(259, 259, 190)","(259, 259, 190)"
train,BraTS-MEN-RT-0235-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0236-1_t1c_bet.nii.gz,True,True,"(259, 259, 190)","(259, 259, 190)"
train,BraTS-MEN-RT-0237-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0238-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0241-1_t1c_bet.nii.gz,True,True,"(260, 260, 211)","(260, 260, 211)"
train,BraTS-MEN-RT-0242-1_t1c_bet.nii.gz,True,True,"(260, 260, 164)","(260, 260, 164)"
train,BraTS-MEN-RT-0245-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0246-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0247-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0249-1_t1c_bet.nii.gz,True,True,"(240, 240, 172)","(240, 240, 172)"
train,BraTS-MEN-RT-0250-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0251-1_t1c_bet.nii.gz,True,True,"(250, 250, 240)","(250, 250, 240)"
train,BraTS-MEN-RT-0252-1_t1c_bet.nii.gz,True,True,"(259, 259, 190)","(259, 259, 190)"
train,BraTS-MEN-RT-0254-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0255-1_t1c_bet.nii.gz,True,True,"(250, 250, 202)","(250, 250, 202)"
train,BraTS-MEN-RT-0256-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0257-1_t1c_bet.nii.gz,True,True,"(380, 380, 310)","(380, 380, 310)"
train,BraTS-MEN-RT-0258-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0260-1_t1c_bet.nii.gz,True,True,"(270, 270, 184)","(270, 270, 184)"
train,BraTS-MEN-RT-0261-1_t1c_bet.nii.gz,True,True,"(240, 240, 184)","(240, 240, 184)"
train,BraTS-MEN-RT-0262-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0263-1_t1c_bet.nii.gz,True,True,"(260, 260, 164)","(260, 260, 164)"
train,BraTS-MEN-RT-0264-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0267-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0268-1_t1c_bet.nii.gz,True,True,"(250, 250, 186)","(250, 250, 186)"
train,BraTS-MEN-RT-0270-1_t1c_bet.nii.gz,True,True,"(380, 380, 317)","(380, 380, 317)"
train,BraTS-MEN-RT-0271-1_t1c_bet.nii.gz,True,True,"(240, 240, 172)","(240, 240, 172)"
train,BraTS-MEN-RT-0273-1_t1c_bet.nii.gz,True,True,"(259, 259, 173)","(259, 259, 173)"
train,BraTS-MEN-RT-0274-1_t1c_bet.nii.gz,True,True,"(250, 250, 184)","(250, 250, 184)"
train,BraTS-MEN-RT-0275-1_t1c_bet.nii.gz,True,True,"(254, 254, 229)","(254, 254, 229)"
train,BraTS-MEN-RT-0279-1_t1c_bet.nii.gz,True,True,"(260, 260, 180)","(260, 260, 180)"
train,BraTS-MEN-RT-0280-1_t1c_bet.nii.gz,True,True,"(250, 250, 187)","(250, 250, 187)"
train,BraTS-MEN-RT-0281-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0282-1_t1c_bet.nii.gz,True,True,"(250, 250, 240)","(250, 250, 240)"
train,BraTS-MEN-RT-0283-1_t1c_bet.nii.gz,True,True,"(239, 239, 200)","(239, 239, 200)"
train,BraTS-MEN-RT-0284-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0285-1_t1c_bet.nii.gz,True,True,"(250, 250, 199)","(250, 250, 199)"
train,BraTS-MEN-RT-0286-1_t1c_bet.nii.gz,True,True,"(260, 260, 156)","(260, 260, 156)"
train,BraTS-MEN-RT-0287-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0288-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0289-1_t1c_bet.nii.gz,True,True,"(250, 250, 223)","(250, 250, 223)"
train,BraTS-MEN-RT-0290-1_t1c_bet.nii.gz,True,True,"(239, 239, 192)","(239, 239, 192)"
train,BraTS-MEN-RT-0291-1_t1c_bet.nii.gz,True,True,"(259, 259, 190)","(259, 259, 190)"
train,BraTS-MEN-RT-0294-1_t1c_bet.nii.gz,True,True,"(240, 240, 172)","(240, 240, 172)"
train,BraTS-MEN-RT-0295-1_t1c_bet.nii.gz,True,True,"(240, 240, 172)","(240, 240, 172)"
train,BraTS-MEN-RT-0296-1_t1c_bet.nii.gz,True,True,"(380, 380, 319)","(380, 380, 319)"
train,BraTS-MEN-RT-0297-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0298-1_t1c_bet.nii.gz,True,True,"(380, 380, 188)","(380, 380, 188)"
train,BraTS-MEN-RT-0299-1_t1c_bet.nii.gz,True,True,"(240, 240, 211)","(240, 240, 211)"
train,BraTS-MEN-RT-0300-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0301-1_t1c_bet.nii.gz,True,True,"(259, 259, 195)","(259, 259, 195)"
train,BraTS-MEN-RT-0302-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0303-1_t1c_bet.nii.gz,True,True,"(400, 400, 288)","(400, 400, 288)"
train,BraTS-MEN-RT-0304-1_t1c_bet.nii.gz,False,False,MISSING,MISSING
train,BraTS-MEN-RT-0305-1_t1c_bet.nii.gz,True,True,"(259, 259, 186)","(259, 259, 186)"
train,BraTS-MEN-RT-0306-1_t1c_bet.nii.gz,True,True,"(260, 260, 186)","(260, 260, 186)"
train,BraTS-MEN-RT-0309-1_t1c_bet.nii.gz,True,True,"(259, 259, 184)","(259, 259, 184)"
train,BraTS-MEN-RT-0310-1_t1c_bet.nii.gz,True,True,"(260, 260, 164)","(260, 260, 164)"
train,BraTS-MEN-RT-0311-1_t1c_bet.nii.gz,True,True,"(240, 240, 172)","(240, 240, 172)"
train,BraTS-MEN-RT-0312-1_t1c_bet.nii.gz,True,True,"(250, 250, 212)","(250, 250, 212)"
train,BraTS-MEN-RT-0313-1_t1c_bet.nii.gz,True,True,"(260, 260, 168)","(260, 260, 168)"
train,BraTS-MEN-RT-0314-1_t1c_bet.nii.gz,True,True,"(259, 259, 186)","(259, 259, 186)"
