,mode,patient_id,filename
137,train,BraTS-MEN-RT-0175-1,BraTS-MEN-RT-0175-1_t1c_bet.nii.gz
145,train,BraTS-MEN-RT-0185-1,BraTS-MEN-RT-0185-1_t1c_bet.nii.gz
147,train,BraTS-MEN-RT-0187-1,BraTS-MEN-RT-0187-1_t1c_bet.nii.gz
152,train,BraTS-MEN-RT-0192-1,BraTS-MEN-RT-0192-1_t1c_bet.nii.gz
156,train,BraTS-MEN-RT-0196-1,BraTS-MEN-RT-0196-1_t1c_bet.nii.gz
161,train,BraTS-MEN-RT-0201-1,BraTS-MEN-RT-0201-1_t1c_bet.nii.gz
162,train,BraTS-MEN-RT-0202-1,BraTS-MEN-RT-0202-1_t1c_bet.nii.gz
169,train,BraTS-MEN-RT-0212-1,BraTS-MEN-RT-0212-1_t1c_bet.nii.gz
170,train,BraTS-MEN-RT-0214-1,BraTS-MEN-RT-0214-1_t1c_bet.nii.gz
174,train,BraTS-MEN-RT-0219-1,BraTS-MEN-RT-0219-1_t1c_bet.nii.gz
187,train,BraTS-MEN-RT-0233-1,BraTS-MEN-RT-0233-1_t1c_bet.nii.gz
189,train,BraTS-MEN-RT-0235-1,BraTS-MEN-RT-0235-1_t1c_bet.nii.gz
191,train,BraTS-MEN-RT-0237-1,BraTS-MEN-RT-0237-1_t1c_bet.nii.gz
192,train,BraTS-MEN-RT-0238-1,BraTS-MEN-RT-0238-1_t1c_bet.nii.gz
195,train,BraTS-MEN-RT-0245-1,BraTS-MEN-RT-0245-1_t1c_bet.nii.gz
196,train,BraTS-MEN-RT-0246-1,BraTS-MEN-RT-0246-1_t1c_bet.nii.gz
202,train,BraTS-MEN-RT-0254-1,BraTS-MEN-RT-0254-1_t1c_bet.nii.gz
204,train,BraTS-MEN-RT-0256-1,BraTS-MEN-RT-0256-1_t1c_bet.nii.gz
209,train,BraTS-MEN-RT-0262-1,BraTS-MEN-RT-0262-1_t1c_bet.nii.gz
211,train,BraTS-MEN-RT-0264-1,BraTS-MEN-RT-0264-1_t1c_bet.nii.gz
212,train,BraTS-MEN-RT-0267-1,BraTS-MEN-RT-0267-1_t1c_bet.nii.gz
227,train,BraTS-MEN-RT-0287-1,BraTS-MEN-RT-0287-1_t1c_bet.nii.gz
228,train,BraTS-MEN-RT-0288-1,BraTS-MEN-RT-0288-1_t1c_bet.nii.gz
240,train,BraTS-MEN-RT-0302-1,BraTS-MEN-RT-0302-1_t1c_bet.nii.gz
242,train,BraTS-MEN-RT-0304-1,BraTS-MEN-RT-0304-1_t1c_bet.nii.gz
255,train,BraTS-MEN-RT-0319-1,BraTS-MEN-RT-0319-1_t1c_bet.nii.gz
256,train,BraTS-MEN-RT-0320-1,BraTS-MEN-RT-0320-1_t1c_bet.nii.gz
259,train,BraTS-MEN-RT-0323-1,BraTS-MEN-RT-0323-1_t1c_bet.nii.gz
261,train,BraTS-MEN-RT-0326-1,BraTS-MEN-RT-0326-1_t1c_bet.nii.gz
262,train,BraTS-MEN-RT-0327-1,BraTS-MEN-RT-0327-1_t1c_bet.nii.gz
264,train,BraTS-MEN-RT-0332-1,BraTS-MEN-RT-0332-1_t1c_bet.nii.gz
265,train,BraTS-MEN-RT-0334-1,BraTS-MEN-RT-0334-1_t1c_bet.nii.gz
277,train,BraTS-MEN-RT-0349-1,BraTS-MEN-RT-0349-1_t1c_bet.nii.gz
286,train,BraTS-MEN-RT-0363-1,BraTS-MEN-RT-0363-1_t1c_bet.nii.gz
289,train,BraTS-MEN-RT-0367-1,BraTS-MEN-RT-0367-1_t1c_bet.nii.gz
292,train,BraTS-MEN-RT-0371-1,BraTS-MEN-RT-0371-1_t1c_bet.nii.gz
304,train,BraTS-MEN-RT-0385-1,BraTS-MEN-RT-0385-1_t1c_bet.nii.gz
315,train,BraTS-MEN-RT-0398-1,BraTS-MEN-RT-0398-1_t1c_bet.nii.gz
319,train,BraTS-MEN-RT-0403-1,BraTS-MEN-RT-0403-1_t1c_bet.nii.gz
320,train,BraTS-MEN-RT-0404-1,BraTS-MEN-RT-0404-1_t1c_bet.nii.gz
330,train,BraTS-MEN-RT-0416-1,BraTS-MEN-RT-0416-1_t1c_bet.nii.gz
340,train,BraTS-MEN-RT-0426-1,BraTS-MEN-RT-0426-1_t1c_bet.nii.gz
342,train,BraTS-MEN-RT-0429-1,BraTS-MEN-RT-0429-1_t1c_bet.nii.gz
350,train,BraTS-MEN-RT-0439-1,BraTS-MEN-RT-0439-1_t1c_bet.nii.gz
356,train,BraTS-MEN-RT-0445-1,BraTS-MEN-RT-0445-1_t1c_bet.nii.gz
360,train,BraTS-MEN-RT-0450-1,BraTS-MEN-RT-0450-1_t1c_bet.nii.gz
373,train,BraTS-MEN-RT-0464-1,BraTS-MEN-RT-0464-1_t1c_bet.nii.gz
376,train,BraTS-MEN-RT-0467-1,BraTS-MEN-RT-0467-1_t1c_bet.nii.gz
392,train,BraTS-MEN-RT-0488-1,BraTS-MEN-RT-0488-1_t1c_bet.nii.gz
396,train,BraTS-MEN-RT-0493-1,BraTS-MEN-RT-0493-1_t1c_bet.nii.gz
401,train,BraTS-MEN-RT-0501-1,BraTS-MEN-RT-0501-1_t1c_bet.nii.gz
402,train,BraTS-MEN-RT-0502-1,BraTS-MEN-RT-0502-1_t1c_bet.nii.gz
411,train,BraTS-MEN-RT-0514-1,BraTS-MEN-RT-0514-1_t1c_bet.nii.gz
416,train,BraTS-MEN-RT-0522-1,BraTS-MEN-RT-0522-1_t1c_bet.nii.gz
417,train,BraTS-MEN-RT-0523-1,BraTS-MEN-RT-0523-1_t1c_bet.nii.gz
422,train,BraTS-MEN-RT-0529-1,BraTS-MEN-RT-0529-1_t1c_bet.nii.gz
432,train,BraTS-MEN-RT-0544-1,BraTS-MEN-RT-0544-1_t1c_bet.nii.gz
453,train,BraTS-MEN-RT-0568-1,BraTS-MEN-RT-0568-1_t1c_bet.nii.gz
458,train,BraTS-MEN-RT-0574-1,BraTS-MEN-RT-0574-1_t1c_bet.nii.gz
459,train,BraTS-MEN-RT-0575-1,BraTS-MEN-RT-0575-1_t1c_bet.nii.gz
460,train,BraTS-MEN-RT-0577-1,BraTS-MEN-RT-0577-1_t1c_bet.nii.gz
464,train,BraTS-MEN-RT-0581-1,BraTS-MEN-RT-0581-1_t1c_bet.nii.gz
468,train,BraTS-MEN-RT-0585-1,BraTS-MEN-RT-0585-1_t1c_bet.nii.gz
474,train,BraTS-MEN-RT-0592-1,BraTS-MEN-RT-0592-1_t1c_bet.nii.gz
476,train,BraTS-MEN-RT-0594-1,BraTS-MEN-RT-0594-1_t1c_bet.nii.gz
487,train,BraTS-MEN-RT-0610-1,BraTS-MEN-RT-0610-1_t1c_bet.nii.gz
489,train,BraTS-MEN-RT-0612-1,BraTS-MEN-RT-0612-1_t1c_bet.nii.gz
497,train,BraTS-MEN-RT-0621-1,BraTS-MEN-RT-0621-1_t1c_bet.nii.gz
498,train,BraTS-MEN-RT-0623-1,BraTS-MEN-RT-0623-1_t1c_bet.nii.gz
